show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,IMDB_Rating,year_added
s1023,TV Show,To Catch a Smuggler,,,United States,2021-01-21,2020,TV-14,1 Season,"Crime, Documentaries","Millions of people enter the U.S. through the nationâs airports each year. Itâs a nonstop human tidal wave, and hidden among them are an endless stream of contraband and ill intentions. Defending our borders are the vigilant men and women of the Department of Homeland Security, whose agencies make up a three-tiered defense of Americaâs airports. DHS will stop at nothing to catch a smuggler.",7.4,2021
s1024,Movie,90 Day FiancÃ©: Self-Quarantined,,,United States,2021-01-20,2020,1 Season,,"Documentaries, Reality, Romance","For the couples featured across the ""90 Day FiancÃ©"" franchise, their relationships have been tested by distance, cultural and religious differences, skeptical families, language barriers and much more; like the rest of the world, their lives and love are facing an unfathomable challenge of the global coronavirus pandemic.",5.3,2021
s1025,TV Show,A Very Brady Renovation,,,United States,2021-01-20,2019,TV-G,1 Season,"Lifestyle & Culture, Reality","Jason Pickens visits The Brady Bunch cast members to learn what they're doing now. Then, from touring historic homes with Eve Plumb to exploring Branson, MO, with Barry Williams, he explores each cast member's passion project.",8.3,2021
s1027,TV Show,Gold Rush,,,United States,2021-01-20,2010,TV-PG,3 Seasons,Reality,"In the face of an economic meltdown, a group of men will risk everything to strike it rich mining for gold in the wilds of Alaska.",7.3,2021
s1028,TV Show,Prodigal Son,,,United States,2021-01-20,2019,TV-14,1 Season,"Crime, Drama","Malcolm Bright is a gifted criminal psychologist, using his twisted genius to help the NYPD solve crimes and stop killers, all while dealing with a manipulative mother, a serial killer father still looking to bond with his prodigal son and his own constantly evolving neuroses. Bright's only ally is his sister, Ainsley, a TV journalist who wishes her brother would take a break from murder and have a normal life. Unfortunately for his sister, the only way Bright feels normal is by solving cases with the help of his longtime mentor, NYPD Detective Gil Arroyo. Arroyo's one of the best detectives around, and he expects no less from his team, which includes Detective JT Tarmel, a born-and-bred New Yorker who questions whether Bright is a psychopath himself.",7.7,2021
s1029,TV Show,Property Brothers: Forever Home,,,United States,2021-01-20,2019,TV-G,1 Season,"Lifestyle & Culture, Reality",Drew and Jonathan Scott are on a mission to help couples transform their houses into homes where they can put down roots. The brothers unlock the full potential of each property and renovate to make dreams come true.,6.6,2021
s1030,TV Show,Rob Riggle: Global Investigator,,,United States,2021-01-20,2020,TV-14,1 Season,"Action, Adventure, Lifestyle & Culture",Actor Rob Riggle takes his passion for adventure across the globe in hopes of solving some of the world's greatest mysteries.,7.2,2021
s1031,TV Show,Rock the Block,,,United States,2021-01-20,2019,TV-PG,1 Season,"Lifestyle & Culture, Reality","Leanne Ford, Alison Victoria, Jasmine Roth and Mina Starsiak-Hawk each have a month to renovate a home. The designer who nets the highest appraisal gets bragging rights and a street named in her honor.",7.0,2021
s1032,TV Show,Save My Skin,,,United Kingdom,2021-01-20,2020,TV-14,1 Season,Reality,"Dr Emma Craythorne and a team of experts work together to collectively solve complex skin cases. At the clinic we meet the people whose lives are dramatically impeded by a devastating skin condition. Trapped in their homes, too embarrassed to go out, unable to start relationships, get a job or interact socially.",7.2,2021
s1033,TV Show,The Inauguration of Joseph R. Biden Jr.,,,United States,2021-01-20,2021,,1 Season,News,"Inauguration events take place in Washington for the next president of the United States, Joe Biden, and incoming vice president Kamala Harris.",4.5,2021
s1034,TV Show,Hollyoaks,,,United Kingdom,2021-01-18,1995,TV-PG,2 Seasons,"Drama, International, Romance","Hollyoaks is a glossy, fast-paced and engaging drama. Featuring top class acting and witty, evocative writing; the show has constantly raised the bar for teen entertainment.",4.6,2021
s1035,TV Show,Is It Wrong to Try to Pick Up Girls in a Dungeon?,,,Japan,2021-01-17,2015,TV-MA,3 Seasons,"Action, Adventure, Anime","In Orario, fearless adventurers band together in search of fame and fortune within the underground labyrinth known as the Dungeon. But Bell Cranel, novice adventurer, has bigger plans than riches and glory; he fights monsters in the hope of having a fateful encounter with a girl. When this happens, it doesnât go exactly as he planned. Thus begins the story of an unlikely pair, a boy and a goddess, both trying to prove themselves, both eager to reach their goals.",7.4,2021
s1036,Movie,No Escape,,,United States,2021-01-17,2020,92 min,,"Horror, Thriller","A social media star travels to Moscow to capture new content. Always pushing the limits and catering to a growing audience, he and his friends enter a cold world of mystery, excess, and danger.",6.7,2021
